NOTAM_REC_ID,FNS_ID,FILENAME,NOTAM_ID,NOTAM_TYPE,RELATED_NOTAM_ID,SIMPLE_TEXT,LOC_ID_ACCOUNTABLE_ORG,NOTAM_NUMBER,RELATED_NOTAM_NUMBER,TEXT,Q_CODE,Q_CODE_INTERPRETATION,A_CODE,B_CODE,C_CODE,D_CODE,E_CODE,F_CODE,G_CODE,CLASSIFICATION,POSSIBLE_NOTAM_ID,MIN_ALT,MAX_ALT,MIN_ALT_REF_TYPE,MAX_ALT_REF_TYPE,POSSIBLE_START_DATE,POSSIBLE_END_DATE,ISSUE_DATE,CANCELED_DATE,AFFECTED_FIR,DESIGNATOR,DESIGNATOR_NAME,LOCATION_NAME,ACCOUNT_ID,LOCATION_CODE,LAUNCHES_REC_ID
143,FNS_ID_43135241,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,M0297/16,NOTAMR,M0292/16,NULL,NULL,NULL,NULL,"RWY 17/35 SHADOW UAS OPERATIONS AT KHUA AND WITHIN R2104 DURING TOWER OPERATING HOURS. SHADOW UAS ARRESTING GEAR IN PLACE RUNWAY 17/35 3,000 FT REMAINING MARKER DURING DEPARTURES AND ARRIVALS. AIRCRAFT SMALLER THAN C-130 MAY ROLL OVER ARRESTING GEAR.",ZME/QXXXX/IV/NBO/A/000/999/3440N08641W005,NULL,KHUA,45:00.0,30:00.0,NULL,"RWY 17/35 SHADOW UAS OPERATIONS AT KHUA AND WITHIN R2104 DURING TOWER OPERATING HOURS. SHADOW UAS ARRESTING GEAR IN PLACE RUNWAY 17/35 3,000 FT REMAINING MARKER DURING DEPARTURES AND ARRIVALS. AIRCRAFT SMALLER THAN C-130 MAY ROLL OVER ARRESTING GEAR.",0,999,MIL,M0297/16 NOTAMR,0,999,MSL,MSL,45:00.0,30:00.0,47:00.0,NULL,ZME,NULL,NULL,REDSTONE AAF,KHUA,HUA,NULL
144,FNS_ID_43135191,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0103/16,NOTAMN,NULL,!BTV 05/103 0B5 AD AP LGT ALL OUT OF SERVICE  1605251000-1605261200,BTV,05/103,NULL,AD AP LGT ALL OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,AD AP LGT ALL OUT OF SERVICE,NULL,NULL,DOM,0103/16 NOTAMN,NULL,NULL,NULL,NULL,00:00.0,00:00.0,41:00.0,NULL,NULL,0B5,TURNERS FALLS,TURNERS FALLS,BTV,0B5,NULL
145,FNS_ID_43135237,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,M0296/16,NOTAMN,NULL,!KHUA M0296/16 HUA SMOKE WITHIN AREA DEFINED AS 5NM RADIUS OF HUA STATIC FIRE BLDG. 9010 R2104A (E) 1605260100-1605271100,KHUA,NULL,NULL,SMOKE WITHIN AREA DEFINED AS 5NM RADIUS OF KHUA STATIC FIRE BLDG. 9010 R2104A (E) ,ZME/QWSXX/IV/BO/W/000//3440N08641W005,BURNING OR BLOWING GAS,KHUA,00:00.0,00:00.0,NULL, SMOKE WITHIN AREA DEFINED AS 5NM RADIUS OF KHUA STATIC FIRE BLDG. 9010 R2104A (E),NULL,NULL,MIL,M0296/16 NOTAMN,0,0,NULL,MSL,00:00.0,00:00.0,46:00.0,NULL,ZME,HUA,REDSTONE AAF,REDSTONE AAF,KHUA,KHUA,NULL
146,FNS_ID_43135207,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,A0057/16,NOTAMC,A0052/16,NULL,NULL,NULL,NULL,A0057/16 NOTAMC A0052/16  Q) KZMP/QXXXX////000/999/4646N10045W005  A) KBIS B) 1605241939 E)  PCL RWY 31 ALS OUT OF SERVICE CANCELED,KZMP/QXXXX////000/999/4646N10045W005,NULL,KBIS,39:00.0,NULL,NULL,PCL RWY 31 ALS OUT OF SERVICE CANCELED ,0,999,INTL,A0057/16 NOTAMC,0,999,MSL,MSL,39:00.0,39:00.0,39:00.0,NULL,KZMP,NULL,NULL,BISMARCK MUNI,KBIS,BIS,NULL
147,FNS_ID_43113132,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0011/16,NOTAMN,NULL,!GBD 05/011 GBD RWY 17/35 REDL OUT OF SERVICE   1605201806-1605272300,GBD,05/011,NULL,RWY 17/35 REDL OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,RWY 17/35 REDL OUT OF SERVICE,NULL,NULL,DOM,0011/16 NOTAMN,NULL,NULL,NULL,NULL,06:00.0,00:00.0,06:00.0,40:00.0,NULL,GBD,GREAT BEND MUNI,GREAT BEND MUNI,GBD,KGBD,NULL
148,FNS_ID_43135232,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,M0262/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"AERODROME BASE OPS, TOWER, LIGHTNING RADIO, WEATHER, AND HOT POL UNATTENDED",ZHN/QFAXX/IV/NBO/A/000/999/2128N15802W005,AERODROME,PHHI,30:00.0,00:00.0,NULL,"AERODROME BASE OPS, TOWER, LIGHTNING RADIO, WEATHER, AND HOT POL UNATTENDED",0,999,MIL,M0262/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,45:00.0,NULL,ZHN,NULL,NULL,WHEELER AAF,PHHI,HHI,NULL
149,FNS_ID_43135217,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,05/158,NOTAMN,NULL,!RIU 05/158 FLW NAV VORTAC OUT OF SERVICE 1605241943-1606012100EST,RIU,05/158,NULL,NAV VORTAC OUT OF SERVICE,NULL,NULL,FLW,43:00.0,00:00.0,NULL,NAV VORTAC OUT OF SERVICE,0,999,DOM,0158/16 NOTAMN,0,999,MSL,MSL,43:00.0,00:00.0,43:00.0,NULL,ZLA,FLW,NULL,FLW-VORTAC,RIU,FLW,NULL
150,FNS_ID_43133197,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,05/157,NOTAMN,NULL,!RIU 05/157 FLW NAV VORTAC OUT OF SERVICE 1605241547-1606032100EST,RIU,05/157,NULL,NAV VORTAC OUT OF SERVICE,NULL,NULL,FLW,47:00.0,00:00.0,NULL,NAV VORTAC OUT OF SERVICE,0,999,DOM,0157/16 NOTAMN,0,999,MSL,MSL,47:00.0,00:00.0,48:00.0,42:00.0,ZLA,FLW,NULL,FLW-VORTAC,RIU,FLW,NULL
151,FNS_ID_43115465,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0068/16,NULL,NULL,!GTF 05/068 M26 OBST TOWER LGT (ASR UNKNOWN) 463202.61N1130327.13W (9.2NM ESE M26) 6240.67FT (186.67FT AGL) OUT OF SERVICE  1605210515-1606050515,GTF,05/068,NULL,OBST TOWER LGT (ASR UNKNOWN) 463202.61N1130327.13W (9.2NM ESE M26) 6240.67FT (186.67FT AGL) OUT OF SERVICE,NULL,NULL,NULL,NULL,NULL,NULL,OBST TOWER LGT (ASR UNKNOWN) 463202.61N1130327.13W (9.2NM ESE M26) 6240.67FT (186.67FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0068/16,NULL,NULL,NULL,NULL,15:00.0,15:00.0,23:00.0,41:00.0,KZLC,M26,DRUMMOND,DRUMMOND,GTF,M26,NULL
152,FNS_ID_43135195,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0420/16,NOTAMN,NULL,!ANB 05/420 61A OBST TOWER LGT (ASR 1026494) 315857.50N0872327.30W  (2.7NM W 61A) 523.0FT (317.9FT AGL) OUT OF SERVICE 1605241940-1606231939,ANB,05/420,NULL,OBST TOWER LGT (ASR 1026494) 315857.50N0872327.30W (2.7NM W 61A) 523.0FT (317.9FT AGL) OUT OF SERVICE,NULL,NULL,523.0FT,NULL,NULL,NULL,OBST TOWER LGT (ASR 1026494) 315857.50N0872327.30W (2.7NM W 61A) 523.0FT (317.9FT AGL) OUT OF SERVICE,NULL,NULL,DOM,0420/16 NOTAMN,NULL,NULL,NULL,NULL,40:00.0,39:00.0,42:00.0,NULL,NULL,61A,CAMDEN MUNI,CAMDEN MUNI,ANB,61A,NULL
153,FNS_ID_43135198,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0017/16,NOTAMN,NULL,!ACT 05/017 ACT TWY ALL SIGN ALL NOT STD   1605260500-1606301500,ACT,05/017,NULL,TWY ALL SIGN ALL NOT STD,NULL,NULL,NULL,NULL,NULL,NULL,TWY ALL SIGN ALL NOT STD,NULL,NULL,DOM,0017/16 NOTAMN,NULL,NULL,NULL,NULL,00:00.0,00:00.0,41:00.0,NULL,NULL,ACT,WACO RGNL,WACO RGNL,ACT,KACT,NULL
154,FNS_ID_43135212,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,V1870/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,RESTRICTED AREA ACT: URR623.,URRV/QRRCA/IV/BO/W/000/999/4647N03812E004,RESTRICTED AREA ACTIVATED,URRV,00:00.0,59:00.0,01-04 06-11 13-18 20-25 27-30 0000-2359,RESTRICTED AREA ACT: URR623.,15M,600M,INTL,V1870/16 NOTAMN,0,999,AGL,AGL,00:00.0,59:00.0,38:00.0,NULL,URRV,NULL,NULL,ROSTOV FIR,UUUUYNYX,URRV,NULL
155,FNS_ID_43135203,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T194857Z_tmp.xml,0028/16,NULL,NULL,!YXX 05/028 YXX  CYXX RVR 07 NOT AVBL  1605261500-1606302359,YXX,05/028,NULL,CYXX RVR 07 NOT AVBL,NULL,NULL,NULL,NULL,NULL,NULL,CYXX RVR 07 NOT AVBL,NULL,NULL,DOM,0028/16,NULL,NULL,NULL,NULL,00:00.0,59:00.0,37:00.0,NULL,CZVR,NULL,NULL,ABBOTSFORD,YXX,YXX,NULL
156,FNS_ID_43127223,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/203,NOTAMN,NULL,!JBR 05/203 UJM NAV DME OUT OF SERVICE 1605241400-1605242000,JBR,05/203,NULL,NAV DME OUT OF SERVICE,NULL,NULL,UJM,00:00.0,00:00.0,NULL,NAV DME OUT OF SERVICE,0,999,DOM,0203/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,31:00.0,50:00.0,ZME,UJM,NULL,UJM-VOR/DME,JBR,UJM,NULL
157,FNS_ID_43133049,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,A0931/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,MICROBURST AND WINDSHEAR DETECTION SYSTEM NOT AVBL,KZOB/QXXXX////000/999/4135N08348W005,NULL,KTOL,31:00.0,00:00.0,NULL,MICROBURST AND WINDSHEAR DETECTION SYSTEM NOT AVBL ,0,999,INTL,A0931/16 NOTAMN,0,999,MSL,MSL,31:00.0,00:00.0,32:00.0,41:00.0,KZOB,NULL,NULL,TOLEDO EXPRESS,KTOL,TOL,NULL
158,FNS_ID_43126679,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,M0292/16,NOTAMR,M0287/16,NULL,NULL,NULL,NULL,"RWY 17/35 SHADOW UAS OPERATIONS AT KHUA AND WITHIN R2104 DURING TOWER OPERATING HOURS. SHADOW UAS ARRESTING GEAR IN PLACE RUNWAY 17/35 3,000 FT REMAINING MARKER DURING DEPARTURES AND ARRIVALS. AIRCRAFT SMALLER THAN C-130 MAY ROLL OVER ARRESTING GEAR.",ZME/QXXXX/IV/NBO/A/000/999/3440N08641W005,NULL,KHUA,45:00.0,30:00.0,NULL,"RWY 17/35 SHADOW UAS OPERATIONS AT KHUA AND WITHIN R2104 DURING TOWER OPERATING HOURS. SHADOW UAS ARRESTING GEAR IN PLACE RUNWAY 17/35 3,000 FT REMAINING MARKER DURING DEPARTURES AND ARRIVALS. AIRCRAFT SMALLER THAN C-130 MAY ROLL OVER ARRESTING GEAR.",0,999,MIL,M0292/16 NOTAMR,0,999,MSL,MSL,45:00.0,30:00.0,59:00.0,47:00.0,ZME,NULL,NULL,REDSTONE AAF,KHUA,HUA,NULL
159,FNS_ID_43135234,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/182,NOTAMN,NULL,!PIT 05/182 PIT NAV ILS RWY 10L LOC/GP OUT OF SERVICE 1605241946-1605242100,PIT,05/182,NULL,NAV ILS RWY 10L LOC/GP OUT OF SERVICE,ZOB//I/NBO/A/000/999/4029N08013W005,NULL,KPIT,46:00.0,00:00.0,NULL, NAV ILS RWY 10L LOCALIZER/GP OUT OF SERVICE ,0,999,DOM,0182/16 NOTAMN,0,999,MSL,MSL,46:00.0,00:00.0,46:00.0,NULL,ZOB,PIT,PITTSBURGH INTL,PITTSBURGH INTL,PIT,KPIT,NULL
160,FNS_ID_43131812,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,0023/16,NOTAMN,NULL,!PGD 05/023 PGD AD AP CLSD TO PLA  1605241330-1605242130,PGD,05/023,NULL,AD AP CLSD TO PLA,NULL,NULL,NULL,NULL,NULL,NULL,AD AP CLSD TO PLA,NULL,NULL,DOM,0023/16 NOTAMN,NULL,NULL,NULL,NULL,30:00.0,30:00.0,30:00.0,50:00.0,NULL,PGD,PUNTA GORDA,PUNTA GORDA,PGD,KPGD,NULL
161,FNS_ID_43135240,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,0017/16,NOTAMN,NULL,!ILN 05/017 ILN RWY 04L/22R CLSD  1605242000-1605242130,ILN,05/017,NULL,RWY 04L/22R CLSD,NULL,NULL,NULL,NULL,NULL,NULL,RWY 04L/22R CLSD,NULL,NULL,DOM,0017/16 NOTAMN,NULL,NULL,NULL,NULL,00:00.0,30:00.0,47:00.0,NULL,NULL,ILN,WILMINGTON AIR PARK,WILMINGTON AIR PARK,ILN,KILN,NULL
162,FNS_ID_43128314,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,M0102/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"RWY 21 ,FIRST 3000 FEET CLSD, DUE TO MEN AND EQUIPMENT WORKING ON RWY",ZAB/QXXXX/IV/NBO/A/000/999/3150N10622W005,NULL,KBIF,00:00.0,00:00.0,NULL,"RWY 21 ,FIRST 3000 FEET CLSD, DUE TO MEN AND EQUIPMENT WORKING ON RWY",0,999,MIL,M0102/16 NOTAMN,0,999,MSL,MSL,00:00.0,00:00.0,57:00.0,52:00.0,ZAB,NULL,NULL,BIGGS AAF (FORT BLISS),KBIF,BIF,NULL
163,FNS_ID_43135245,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,A0871/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AP OPR WITH AUX ENERGY. CTN.-,SVZM/QFALT/IV/NBO/A/000/999/0752N07227W005,AERODROME LIMITED TO,SVSA,43:00.0,00:00.0,NULL,AP OPR WITH AUX ENERGY. CTN.- ,0,999,INTL,A0871/16 NOTAMN,0,999,MSL,MSL,43:00.0,00:00.0,45:00.0,NULL,SVZM,NULL,NULL,SAN ANTONIO DEL TACHIRA,SVMIYNYN,SVSA,NULL
164,FNS_ID_43135249,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/104,NOTAMN,NULL,!BTV 05/104 BTV NAV ILS RWY 15 DME OUT OF SERVICE 1605251230-1605251700,BTV,05/104,NULL,NAV ILS RWY 15 DME OUT OF SERVICE,ZBW//I/NBO/A/000/999/4428N07309W005,NULL,KBTV,30:00.0,00:00.0,NULL, NAV ILS RWY 15 DME OUT OF SERVICE ,0,999,DOM,0104/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,49:00.0,NULL,ZBW,BTV,BURLINGTON INTL,BURLINGTON INTL,BTV,KBTV,NULL
165,FNS_ID_43135250,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/005,NOTAMN,NULL,!BJI 05/005 BJI NAV ILS RWY 31 OUT OF SERVICE 1605251430-1605252000,BJI,05/005,NULL,NAV ILS RWY 31 OUT OF SERVICE,ZMP//I/NBO/A/000/999/4730N09456W005,NULL,KBJI,30:00.0,00:00.0,NULL, NAV ILS RWY 31 OUT OF SERVICE ,0,999,DOM,0005/16 NOTAMN,0,999,MSL,MSL,30:00.0,00:00.0,49:00.0,NULL,ZMP,BJI,BEMIDJI RGNL,BEMIDJI RGNL,BJI,KBJI,NULL
166,FNS_ID_43135220,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/459,NOTAMN,NULL,!CLE 05/459 CLE NAV ILS RWY 24R OUT OF SERVICE 1605251130-1605252030,CLE,05/459,NULL,NAV ILS RWY 24R OUT OF SERVICE,ZOB//I/NBO/A/000/999/4124N08151W005,NULL,KCLE,30:00.0,30:00.0,NULL, NAV ILS RWY 24R OUT OF SERVICE ,0,999,DOM,0459/16 NOTAMN,0,999,MSL,MSL,30:00.0,30:00.0,44:00.0,NULL,ZOB,CLE,CLEVELAND-HOPKINS INTL,CLEVELAND-HOPKINS INTL,CLE,KCLE,NULL
167,FNS_ID_43135221,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/460,NOTAMN,NULL,!CLE 05/460 CLE NAV ILS RWY 06L OUT OF SERVICE 1605251130-1605252030,CLE,05/460,NULL,NAV ILS RWY 06L OUT OF SERVICE,ZOB//I/NBO/A/000/999/4124N08151W005,NULL,KCLE,30:00.0,30:00.0,NULL, NAV ILS RWY 06L OUT OF SERVICE ,0,999,DOM,0460/16 NOTAMN,0,999,MSL,MSL,30:00.0,30:00.0,44:00.0,NULL,ZOB,CLE,CLEVELAND-HOPKINS INTL,CLEVELAND-HOPKINS INTL,CLE,KCLE,NULL
168,FNS_ID_43135268,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,M0240/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"AERODROME AERODROME MEN AND EQUIPMENT WORKING ON RUNWAY 22 UNDERRUN, RUNWAY USE RESTRICTED TO CROSSWIND ARRIVALS/DEPARTURES ONLY WITH 5 MINUTES PRIOR COORDINATION FOR USE, NO PRACTICE APPROCHES",ZLA/QXXXX/IV/NBO/A/000/999/3437N11805W005,NULL,KPMD,30:00.0,30:00.0,NULL,"AERODROME AERODROME MEN AND EQUIPMENT WORKING ON RUNWAY 22 UNDERRUN, RUNWAY USE RESTRICTED TO CROSSWIND ARRIVALS/DEPARTURES ONLY WITH 5 MINUTES PRIOR COORDINATION FOR USE, NO PRACTICE APPROCHES",0,999,MIL,M0240/16 NOTAMN,0,999,MSL,MSL,30:00.0,30:00.0,52:00.0,NULL,ZLA,NULL,NULL,PALMDALE USAF PLANT 42,KPMD,PMD,NULL
169,FNS_ID_43135239,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,0005/16,NOTAMN,NULL,!HDC 05/005 HMU AIRSPACE UAS WI AN AREA DEFINED AS 1NM RADIUS OF HMU259017.4 (17.4NM W HDC) SFC-400FT AGL   1605261200-1605262300,HDC,05/005,NULL,AIRSPACE UAS WI AN AREA DEFINED AS 1NM RADIUS OF HMU259017.4 (17.4NM W HDC) SFC-400FT AGL,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE UAS WI AN AREA DEFINED AS 1NM RADIUS OF HMU259017.4 (17.4NM W HDC) SFC-400FT AGL,NULL,NULL,DOM,0005/16 NOTAMN,0,NULL,AGL,NULL,00:00.0,00:00.0,47:00.0,NULL,NULL,NULL,NULL,HMU-VOR,HDC,HMU,NULL
170,FNS_ID_43135229,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,A0933/16,NOTAMC,A0931/16,NULL,NULL,NULL,NULL,A0933/16 NOTAMC A0931/16  Q) KZOB/QXXXX////000/999/4135N08348W005  A) KTOL B) 1605241941 E)  MICROBURST AND WINDSHEAR DETECTION SYSTEM NOT AVBL CANCELED,KZOB/QXXXX////000/999/4135N08348W005,NULL,KTOL,41:00.0,NULL,NULL,MICROBURST AND WINDSHEAR DETECTION SYSTEM NOT AVBL CANCELED ,0,999,INTL,A0933/16 NOTAMC,0,999,MSL,MSL,41:00.0,41:00.0,41:00.0,NULL,KZOB,NULL,NULL,TOLEDO EXPRESS,KTOL,TOL,NULL
171,FNS_ID_43135223,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,W0427/16,NOTAMC,W0413/16,NULL,NULL,NULL,NULL,W0427/16 NOTAMC W0413/16 Q) HECC/QWECN/IV/BO/W/000/066/3015N03211E005 A) HECC B) 1605241945 E) NOTAM CNL. NEW MOTAM TO FLW,HECC/QWECN/IV/BO/W/000/066/3015N03211E005,EXERCISES,HECC,45:00.0,NULL,NULL,NOTAM CNL. NEW MOTAM TO FLW ,0,66,INTL,W0427/16 NOTAMC,0,66,MSL,MSL,42:00.0,42:00.0,42:00.0,NULL,HECC,NULL,NULL,CAIRO ACC,HECAYNYX,HECC,NULL
172,FNS_ID_43135231,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,A0383/16,NOTAMC,A0381/16,NULL,NULL,NULL,NULL,"A0383/16 NOTAMC A0381/16 Q) SLLF/QCAAK/IV/NBO/AE/000/999/1630S06814W999 A) SLLF B) 1605241940  E) ACC FREQ 128,2 MHZ OKAY",SLLF/QCAAK/IV/NBO/AE/000/999/1630S06814W999,AIR/GROUND FACILITY RESUMED NORMAL OPERATIONS,SLLF,40:00.0,NULL,NULL,"ACC FREQ 128,2 MHZ OKAY ",0,999,INTL,A0383/16 NOTAMC,0,999,MSL,MSL,42:00.0,42:00.0,42:00.0,NULL,SLLF,NULL,NULL,REGION DE INFORMACION DE VUELO FIR LA PAZ,SLLPYNYX,SLLF,NULL
173,FNS_ID_43135235,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,Jun-05,NOTAMC,Jun-20,!FDC 6/9105 FDC CANCEL 6/8820 HDN,FDC,Jun-05,Jun-20,FDC 6/9105 NOTAMC 6/8820 A) HDN,NULL,NULL,HDN,NULL,NULL,NULL,FDC 6/9105 NOTAMC 6/8820 A) HDN,NULL,NULL,FDC,9105/16 NOTAMC,NULL,NULL,NULL,NULL,46:00.0,46:00.0,46:00.0,NULL,NULL,NULL,NULL,FDC,FDC,FDC,NULL
174,FNS_ID_43135236,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,Jun-07,NOTAMC,Jun-22,!FDC 6/9107 FDC CANCEL 6/8822 CAG,FDC,Jun-07,Jun-22,FDC 6/9107 NOTAMC 6/8822 A) CAG,NULL,NULL,CAG,NULL,NULL,NULL,FDC 6/9107 NOTAMC 6/8822 A) CAG,NULL,NULL,FDC,9107/16 NOTAMC,NULL,NULL,NULL,NULL,46:00.0,46:00.0,46:00.0,NULL,NULL,NULL,NULL,FDC,FDC,FDC,NULL
175,FNS_ID_43135248,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,M0771/16,NOTAMC,M0770/16,M0771/16 NOTAMC M0770/16,NULL,NULL,NULL,M0771/16 NOTAMC M0770/16 A) PAEI,NULL,NULL,PAEI,NULL,NULL,NULL,M0771/16 NOTAMC M0770/16 A) PAEI,NULL,NULL,MIL,M0771/16 NOTAMC,NULL,NULL,NULL,NULL,48:00.0,48:00.0,48:00.0,NULL,NULL,NULL,NULL,EIELSON AFB,PAEI,EIL,NULL
176,FNS_ID_43135218,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,0092/16,NOTAMN,NULL,!BTR 05/092 BTR AIRSPACE UAS WI AN AREA DEFINED AS .1NM RADIUS OF LSU077005.3 (3NM SW BTR) SFC-200FT AGL  1605271200-1605272300,BTR,05/092,NULL,AIRSPACE UAS WI AN AREA DEFINED AS .1NM RADIUS OF LSU077005.3 (3NM SW BTR) SFC-200FT AGL,NULL,NULL,NULL,NULL,NULL,NULL,AIRSPACE UAS WI AN AREA DEFINED AS .1NM RADIUS OF LSU077005.3 (3NM SW BTR) SFC-200FT AGL,NULL,NULL,DOM,0092/16 NOTAMN,0,NULL,AGL,NULL,00:00.0,00:00.0,44:00.0,NULL,NULL,NULL,NULL,"BATON ROUGE METROPOLITAN, RYAN FIELD",BTR,BTR,NULL
177,FNS_ID_43135264,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,M0612/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,AIRFIELD OBSTRUCTION; 12FT VEHICLE POSITIONED 4530FT FROM RUNWAY 22 THRESHOLD AND 300FT LEFT OF RUNWAY 22 CENTERLINE,ZAB/QXXXX/IV/NBO/A/000/999/3422N10319W005,NULL,KCVS,00:00.0,59:00.0,NULL, AIRFIELD OBSTRUCTION; 12FT VEHICLE POSITIONED 4530FT FROM RUNWAY 22 THRESHOLD AND 300FT LEFT OF RUNWAY 22 CENTERLINE,0,999,MIL,M0612/16 NOTAMN,0,999,MSL,MSL,00:00.0,59:00.0,52:00.0,NULL,ZAB,NULL,NULL,CANNON AFB,KCVS,CVS,NULL
178,FNS_ID_43135233,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,05/078,NOTAMN,NULL,!GTF 05/078 GTF RWY 21 RWY END ID LGT OUT OF SERVICE 1605241946-1605301500,GTF,05/078,NULL,RWY 21 RWY END ID LGT OUT OF SERVICE,ZLC/QXXXX/IV/NBO/A/000/999/4728N11122W005,NULL,KGTF,46:00.0,00:00.0,NULL,RWY 21 RWY END ID LGT OUT OF SERVICE  ,0,999,DOM,0078/16 NOTAMN,0,999,MSL,MSL,46:00.0,00:00.0,46:00.0,NULL,ZLC,GTF,GREAT FALLS INTL,GREAT FALLS INTL,GTF,KGTF,NULL
179,FNS_ID_43089980,E:\Working\Sherlock_NOTAM_Data\Temporary\notam.20160524T195407Z_tmp.xml,W0413/16,NOTAMN,NULL,NULL,NULL,NULL,NULL,"MIL EXER WI AREA 301223N0320724E-301642N0320724E-301648N0321532E-301229N0321531E-3012 23N0320724E,CAIRO TMA AFFECTED.",HECC/QWELW/IV/BO/W/000/066/3015N03211E005,EXERCISES WILL TAKE PLACE,HECC,00:00.0,00:00.0,MAY 18 1700-2000 MAY 22 25 29 0225-0700 1300-1720 MAY 23 24 26 28 30 0225-0700 1300-1600,"MIL EXER WI AREA 301223N0320724E-301642N0320724E-301648N0321532E-301229N0321531E-3012 23N0320724E,CAIRO TMA AFFECTED.",GND,6600,INTL,W0413/16 NOTAMN,0,6600,AGL,AGL,00:00.0,00:00.0,13:00.0,42:00.0,HECC,NULL,NULL,CAIRO ACC,HECAYNYX,HECC,NULL
